x,y_mid,block1_start,block1_end,block2_start,block2_end
324.2025,785.167604,13977,13986,13989,13998
324.2025,759.247734,14017,14026,14029,14038
324.2025,733.327604,14057,14066,14069,14078
324.2025,707.407734,14097,14106,14109,14118
324.2025,681.487604,14137,14146,14149,14158
324.2025,655.567734,14177,14186,14189,14198
324.2025,629.647734,14217,14226,14229,14238
324.2025,603.727734,14257,14266,14269,14278
324.2025,577.807734,14297,14306,14309,14318
324.2025,551.887734,14337,14346,14349,14358
324.2025,525.967734,14377,14386,14389,14398
324.2025,500.047734,14417,14426,14429,14438
324.2025,474.127734,14457,14466,14469,14478
324.2025,448.207734,14497,14506,14509,14518
324.2025,422.287734,14537,14546,14549,14558
324.2025,396.367734,14577,14586,14589,14598
324.2025,370.447734,14617,14626,14629,14638
324.2025,344.527734,14657,14666,14669,14678
324.2025,318.607734,14697,14706,14709,14718
324.2025,292.687734,14737,14746,14749,14758
324.2025,266.767734,14777,14786,14789,14798
324.2025,240.847734,14817,14826,14829,14838
324.2025,214.927734,14857,14866,14869,14878
324.2025,189.007734,14897,14906,14909,14918
324.2025,163.087734,14937,14946,14949,14958
324.2025,137.167734,14977,14986,14989,14998
324.2025,111.247734,15017,15026,15029,15038
324.2025,85.327734,15057,15066,15069,15078
324.2025,59.407734,15097,15106,15109,15118
324.2025,33.487724,15137,15146,15149,15158
353.3763,785.167604,15177,15186,15189,15198
353.3763,759.247734,15217,15226,15229,15238
353.3763,733.327604,15257,15266,15269,15278
353.3763,707.407734,15297,15306,15309,15318
353.3763,681.487604,15337,15346,15349,15358
353.3763,655.567734,15377,15386,15389,15398
353.3763,629.647734,15417,15426,15429,15438
353.3763,603.727734,15457,15466,15469,15478
353.3763,577.807734,15497,15506,15509,15518
353.3763,551.887734,15537,15546,15549,15558
353.3763,525.967734,15577,15586,15589,15598
353.3763,500.047734,15617,15626,15629,15638
353.3763,474.127734,15657,15666,15669,15678
353.3763,448.207734,15697,15706,15709,15718
353.3763,422.287734,15737,15746,15749,15758
353.3763,396.367734,15777,15786,15789,15798
353.3763,370.447734,15817,15826,15829,15838
353.3763,344.527734,15857,15866,15869,15878
353.3763,318.607734,15897,15906,15909,15918
353.3763,292.687734,15937,15946,15949,15958
353.3763,266.767734,15977,15986,15989,15998
353.3763,240.847734,16017,16026,16029,16038
353.3763,214.927734,16057,16066,16069,16078
353.3763,189.007734,16097,16106,16109,16118
353.3763,163.087734,16137,16146,16149,16158
353.3763,137.167734,16177,16186,16189,16198
353.3763,111.247734,16217,16226,16229,16238
353.3763,85.327734,16257,16266,16269,16278
353.3763,59.407734,16297,16306,16309,16318
353.3763,33.487724,16337,16346,16349,16358
382.2936,785.167604,16377,16386,16389,16398
382.2936,759.247734,16417,16426,16429,16438
382.2936,733.327604,16457,16466,16469,16478
382.2936,707.407734,16497,16506,16509,16518
382.2936,681.487604,16537,16546,16549,16558
382.2936,655.567734,16577,16586,16589,16598
382.2936,629.647734,16617,16626,16629,16638
382.2936,603.727734,16657,16666,16669,16678
382.2936,577.807734,16697,16706,16709,16718
382.2936,551.887734,16737,16746,16749,16758
382.2936,525.967734,16777,16786,16789,16798
382.2936,500.047734,16817,16826,16829,16838
382.2936,474.127734,16857,16866,16869,16878
382.2936,448.207734,16897,16906,16909,16918
382.2936,422.287734,16937,16946,16949,16958
382.2936,396.367734,16977,16986,16989,16998
382.2936,370.447734,17017,17026,17029,17038
382.2936,344.527734,17057,17066,17069,17078
382.2936,318.607734,17097,17106,17109,17118
382.2936,292.687734,17137,17146,17149,17158
382.2936,266.767734,17177,17186,17189,17198
382.2936,240.847734,17217,17226,17229,17238
382.2936,214.927734,17257,17266,17269,17278
382.2936,189.007734,17297,17306,17309,17318
382.2936,163.087734,17337,17346,17349,17358
382.2936,137.167734,17377,17386,17389,17398
382.2936,111.247734,17417,17426,17429,17438
382.2936,85.327734,17457,17466,17469,17478
382.2936,59.407734,17497,17506,17509,17518
382.2936,33.487724,17537,17546,17549,17558
